,year,CMIP5.BCC.bcc-csm1-1-m.rcp85.Amon.gn,CMIP5.BCC.bcc-csm1-1.rcp85.Amon.gn,CMIP5.BNU.BNU-ESM.rcp85.Amon.gn,CMIP5.CCCMA.CanESM2.rcp85.Amon.gn,CMIP5.CMCC.CMCC-CESM.rcp85.Amon.gn,CMIP5.CMCC.CMCC-CM.rcp85.Amon.gn,CMIP5.CMCC.CMCC-CMS.rcp85.Amon.gn,CMIP5.CSIRO-BOM.ACCESS1-0.rcp85.Amon.gn,CMIP5.CSIRO-BOM.ACCESS1-3.rcp85.Amon.gn,CMIP5.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85.Amon.gn,CMIP5.FIO.FIO-ESM.rcp85.Amon.gn,CMIP5.INM.inmcm4.rcp85.Amon.gn,CMIP5.IPSL.IPSL-CM5A-LR.rcp85.Amon.gn,CMIP5.IPSL.IPSL-CM5A-MR.rcp85.Amon.gn,CMIP5.IPSL.IPSL-CM5B-LR.rcp85.Amon.gn,CMIP5.LASG-CESS.FGOALS-g2.rcp85.Amon.gn,CMIP5.MIROC.MIROC-ESM-CHEM.rcp85.Amon.gn,CMIP5.MIROC.MIROC-ESM.rcp85.Amon.gn,CMIP5.MIROC.MIROC5.rcp85.Amon.gn,CMIP5.MOHC.HadGEM2-CC.rcp85.Amon.gn,CMIP5.MOHC.HadGEM2-ES.rcp85.Amon.gn,CMIP5.MPI-M.MPI-ESM-MR.rcp85.Amon.gn,CMIP5.MRI.MRI-CGCM3.rcp85.Amon.gn,CMIP5.MRI.MRI-ESM1.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-H-CC.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-H.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-R-CC.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-R.rcp85.Amon.gn,CMIP5.NCAR.CESM1-BGC.rcp85.Amon.gn,CMIP5.NCAR.CESM1-CAM5.rcp85.Amon.gn,CMIP5.NCC.NorESM1-M.rcp85.Amon.gn,CMIP5.NIMR-KMA.HadGEM2-AO.rcp85.Amon.gn,CMIP5.NOAA-GFDL.GFDL-CM3.rcp85.Amon.gn,CMIP5.NOAA-GFDL.GFDL-ESM2G.rcp85.Amon.gn,CMIP5.NOAA-GFDL.GFDL-ESM2M.rcp85.Amon.gn
0,1850,-0.43868363015552997,-0.43868363015552986,0.07345560595280931,-0.08076962425598692,-0.10903950762125651,-0.09437583621422196,-0.09437583621422181,0.08604024272501998,-0.025376995603311636,-0.049812632882870155,-0.11174032113411303,-0.059166281211298376,0.21928849956933694,-0.10487759179735019,0.053007435349143206,0.0906425958586579,-0.027136783435180778,-0.027136783435180927,0.005272372816109261,,,0.10908711193025411,-0.08897958848779364,,-0.19415416526871163,-0.19415416526871168,-0.0778917021787519,-0.07789170217875203,0.07322477028379286,0.2045568007606051,0.20111041839296004,,,,
1,1851,-0.331472522180625,-0.3314725221806249,-0.10862415370123986,0.09641621285688602,0.10988751490787778,0.1552054294312668,0.15520542943126694,-0.021383340155987012,0.12521916950529324,-0.023449971047979783,-0.06706889101441156,-0.01277849818490869,0.10291259629888032,-0.1075706827119595,0.12160349731460829,0.10807829347348678,0.10681106034772976,0.10681106034772962,0.006152640934029267,,,0.14689121237871797,-0.013940116641801134,-0.06180754673866884,0.005547324373383382,0.005547324373383307,-0.026202454443497707,-0.026202454443497853,-0.010800617115439115,0.4014989143411622,0.25093898792603175,,,,
2,1852,-0.3930276086442195,-0.3930276086442193,-0.06261764843565443,0.014024786334261963,0.007735105872299974,0.0015989218021554101,0.001598921802155558,-0.0009432333020804595,0.037640146615130154,0.1823251829072833,0.11919821183460393,-0.07784511817691826,0.11657535668831713,-0.08040046232520896,0.05153352813713149,0.0753930289705989,0.043858905058680765,0.04385890505868062,0.07952068687202611,,,0.14448297483625439,-0.04300498286053341,0.05232394359715331,0.029727121266439394,0.02972712126643932,-0.055466084389333314,-0.05546608438933346,-0.21215479619486977,0.10372883890201105,0.026895003210799146,,,,
3,1853,-0.22835109915349663,-0.2283510991534965,0.1317521643241908,0.09120789976391674,0.06554365510153119,-0.16096521736124272,-0.16096521736124259,0.1909221002214382,0.13011092456987958,0.12985557043605547,0.04920608145537971,-0.011406994204789337,0.13544190278975235,0.13047101971512318,0.003978469090487454,0.03715942095228708,0.1294360952803936,0.12943609528039346,0.16521776387072476,,,0.1551320714893798,-0.0066714196275375155,0.03335249804728261,-0.04447181258155123,-0.04447181258155131,0.08707234297361237,0.08707234297361222,-0.07794542380869844,-0.025300953035581553,-0.09753093573276539,,,,
4,1854,-0.059070870137325336,-0.059070870137325183,0.09437460875647045,0.29974163936171405,0.15056903917181838,-0.07056680734923337,-0.07056680734923322,0.23119780263824027,0.25290292151715515,-0.0047105675962093585,-0.12494469411503088,-0.047902717400801244,0.12475444592016705,0.12134229904310878,0.04972103338848307,-0.06155732118454745,0.09377114305735897,0.09377114305735883,0.007480958565637685,,,0.1761842130970296,-0.040187328662905496,0.03386193754556551,0.027996454771029782,0.027996454771029706,0.1231620115639432,0.12316201156394306,0.008450754005713637,0.1961606088796951,0.0036765006382473153,,,,
5,1855,-0.1816502711514468,-0.18165027115144664,0.015126663687366667,0.17758083769235702,-0.05037318032156165,-0.00939089337439758,-0.009390893374397432,0.19446360500543913,0.005074720210310006,0.10129863754661154,-0.04174669287275049,-0.07830447889301102,0.09000479986195065,0.0022593748033745698,-0.07549743400331595,0.058407487780536615,-0.02861193224946949,-0.028611932249469636,-0.04993897482537483,,,0.13674877816109068,-0.008442870182118164,0.09803140024029633,-0.01807688086260173,-0.018076880862601803,0.09724155006837447,0.09724155006837432,0.1431218711286623,0.18377032441048968,0.10859294013724978,,,,
6,1856,-0.02192844433740208,-0.02192844433740193,-0.14449378497863283,0.016010883121577207,-0.1796456204985424,-0.26330858052460404,-0.2633085805246039,0.12398959347826206,0.06877160922893484,0.03594307667518729,0.02287701732314784,-0.016099475027207433,-0.020767827645285026,-0.12040848027543245,-0.2430897555052678,0.053972283806335265,-0.01955695017340379,-0.019556950173403937,-0.012993515913819031,,,-0.056875812448440165,-0.11182398324552452,0.07581207867472417,-0.1318634677324657,-0.1318634677324658,-0.09009573121004714,-0.09009573121004728,-0.11701403804940802,-0.08263477242460619,-0.02563192802788909,,,,
7,1857,-0.3517471901658305,-0.3517471901658304,-0.05341071456374591,-0.13150148004786297,-0.12461415072826265,-0.09738225862450212,-0.09738225862450196,0.053742867458965504,0.08292750127712423,-0.2016172981315935,-0.04156551523018126,-0.06089138922498094,-0.18600709790760392,-0.18781249715627565,-0.20978735843318566,-0.07017773942656973,-0.100887701110654,-0.10088770111065415,-0.055693370247661335,,,-0.21169974379336173,-0.05349611560176063,0.025411559445955374,-0.18527895076427395,-0.18527895076427403,-0.1860797903875103,-0.18607979038751044,-0.2372678301422757,-0.1176242337635585,-0.02239825633494504,,,,
8,1858,-0.35466833973210693,-0.3546683397321068,0.06473202411151435,-0.033949537227010586,0.10372429700149662,0.019788177000506318,0.019788177000506463,0.011185485048022489,-0.09928021797054698,-0.19570000646915156,-0.10219630784634748,-0.06730478186508886,-0.2686374496312976,-0.08718356840262054,-0.2054402918803752,-0.039675298790040135,-0.0453328604319491,-0.04533286043194925,-0.05160886789265273,,,-0.06783238695886595,0.0737308573928928,0.09300979816169201,-0.18673330244369687,-0.18673330244369693,-0.11223079572680754,-0.11223079572680768,-0.11481009546779197,0.037361277965469765,0.10288462052173264,,,,
9,1859,-0.10147218218004343,-0.10147218218004328,0.14631913633792992,-0.1918994866393422,0.3539443947561649,-0.3329849305069772,-0.33298493050697703,-0.03971726674166054,-0.06312826458790455,-0.09658760912137036,0.12689000364177017,-0.10729576864858714,-0.2027595281801886,-0.1315736010133417,-0.14492168778875336,0.018114527749076365,-0.0011334505696477908,-0.0011334505696479387,-0.11511230738722518,0.15334346356204742,0.05011953730728669,-0.003217032884299679,0.03460744062988349,0.13080022959865215,-0.3030839290817065,-0.3030839290817066,-0.08231636974293204,-0.08231636974293217,0.04047033747572611,0.22930980030164114,0.23936222346404432,,,,
